state,year,zhvi_avg,warn_events,workers_affected,closures,layoffs,pop,births,deaths,netmig
Alabama,2010,125684.40599817276,30,3993,21,9,4785514,NA,NA,NA
Alabama,2011,119875.2648890549,36,5445,22,14,4799642,NA,NA,NA
Alabama,2012,121658.98695777968,32,5156,18,14,4816632,NA,NA,NA
Alabama,2013,128972.42280996445,41,7329,26,15,4831586,NA,NA,NA
Alabama,2014,133206.0903315903,17,4454,9,8,4843737,NA,NA,NA
Alabama,2015,135095.07187282734,26,4946,13,13,4854803,NA,NA,NA
Alabama,2016,139962.93032955003,21,3566,10,11,4866824,NA,NA,NA
Alabama,2017,144021.28831123057,12,2200,5,7,4877989,NA,NA,NA
Alabama,2018,149763.20909293127,28,3474,19,9,4891628,NA,NA,NA
Alabama,2019,158084.31326535397,17,1847,10,7,4907965,NA,NA,NA
Alabama,2020,170808.71083013905,30,5614,15,15,5032962,13899,15121,9584
Alabama,2021,194232.64329108642,9,881,5,4,5050058,57327,69137,27603
Alabama,2022,218554.76518768308,7,839,5,2,5076868,58251,67263,36109
Alabama,2023,224284.42303805656,25,3839,12,13,5117850,58640,60111,42395
Alabama,2024,228289.44355484072,21,1848,10,11,5163055,57648,59508,47055
Alabama,2025,230476.3366700249,29,4057,15,14,5193088,57680,59868,32304
Alaska,2010,245873.32613719042,1,109,0,0,713982,NA,NA,NA
Alaska,2011,242859.56783405857,0,0,0,0,722349,NA,NA,NA
Alaska,2012,248437.97607441118,4,591,2,0,730810,NA,NA,NA
Alaska,2013,256461.82697248342,1,75,0,0,737626,NA,NA,NA
Alaska,2014,260724.21754187153,0,0,0,0,737075,NA,NA,NA
Alaska,2015,270763.8353035166,1,134,0,0,738430,NA,NA,NA
Alaska,2016,277447.6324193343,4,356,1,0,742575,NA,NA,NA
Alaska,2017,279667.96516840666,4,513,0,0,740983,NA,NA,NA
Alaska,2018,283844.01532787003,7,1028,4,0,736624,NA,NA,NA
Alaska,2019,301079.4167370843,1,173,1,0,733603,NA,NA,NA
Alaska,2020,312052.2117769199,22,4281,0,0,732906,2408,1193,-1634
Alaska,2021,328181.43735324277,4,418,0,0,734590,9460,5431,-2170
Alaska,2022,350571.4623476909,1,182,0,0,733659,9392,6470,-3933
Alaska,2023,353925.9282788187,4,128,1,0,734654,9130,5616,-2578
Alaska,2024,359521.9649882188,0,0,0,0,736537,9037,5620,-1575
Alaska,2025,369641.1417316184,3,183,1,1,737270,8867,5559,-2566
Arizona,2010,157836.33675769228,22,3909,0,0,6407342,NA,NA,NA
Arizona,2011,139867.93716532498,29,2844,0,0,6473416,NA,NA,NA
Arizona,2012,147437.4826859253,51,5207,0,0,6556344,NA,NA,NA
Arizona,2013,174901.41470938455,25,3173,0,0,6634690,NA,NA,NA
Arizona,2014,192349.73893761187,30,5915,0,0,6732873,NA,NA,NA
Arizona,2015,202642.6238367143,45,5526,0,0,6832810,NA,NA,NA
Arizona,2016,219546.27868946237,33,3865,0,0,6944767,NA,NA,NA
Arizona,2017,234500.86460186102,14,1527,0,0,7048088,NA,NA,NA
Arizona,2018,252412.50984014766,34,3696,0,0,7164228,NA,NA,NA
Arizona,2019,269611.694690298,56,6681,0,0,7291843,NA,NA,NA
Arizona,2020,295886.2923850681,188,30648,0,0,7186647,18108,18083,30113
Arizona,2021,365920.4358490541,17,2487,0,0,7274022,75661,80332,92249
Arizona,2022,441928.48324257875,25,2202,0,0,7370065,79135,79842,94991
Arizona,2023,423525.5976967868,80,8091,0,0,7452073,78678,70826,74551
Arizona,2024,433541.30880981457,82,8481,0,0,7556424,78372,69279,95046
Arizona,2025,424056.80890933075,90,18065,0,0,7623818,78926,71277,59326
Arkansas,2010,120666.4798173275,0,0,0,0,2921998,NA,NA,NA
Arkansas,2011,117399.90218977715,0,0,0,0,2941038,NA,NA,NA
Arkansas,2012,118784.72319780818,0,0,0,0,2952876,NA,NA,NA
Arkansas,2013,122086.89129040203,0,0,0,0,2960459,NA,NA,NA
Arkansas,2014,124354.35476839107,0,0,0,0,2968759,NA,NA,NA
Arkansas,2015,128180.46656517439,0,0,0,0,2979732,NA,NA,NA
Arkansas,2016,134350.76271092967,0,0,0,0,2991815,NA,NA,NA
Arkansas,2017,138817.81455394442,0,0,0,0,3003855,NA,NA,NA
Arkansas,2018,144020.15174059384,0,0,0,0,3012161,NA,NA,NA
Arkansas,2019,149680.67139197455,0,0,0,0,3020985,NA,NA,NA
Arkansas,2020,158734.50268268873,0,0,0,0,3014399,8518,8462,2619
Arkansas,2021,179155.10357754,0,0,0,0,3027127,34950,40142,17566
Arkansas,2022,200133.01306918488,0,0,0,0,3047429,36160,40393,24600
Arkansas,2023,205064.65995561634,0,0,0,0,3069856,35330,36406,23417
Arkansas,2024,211475.46025319106,0,0,0,0,3096080,35272,36294,27163
Arkansas,2025,215132.3653171951,0,0,0,0,3114791,35414,36638,19945
California,2010,304768.70530202455,957,53668,0,0,37319550,NA,NA,NA
California,2011,288166.01822011423,818,54393,0,0,37636311,NA,NA,NA
California,2012,283504.5238978657,725,48948,0,0,37944551,NA,NA,NA
California,2013,334564.8177607844,903,61588,0,0,38253768,NA,NA,NA
California,2014,384372.7009853879,750,67420,103,231,38586706,NA,NA,NA
California,2015,412642.3696298063,756,59759,245,511,38904296,NA,NA,NA
California,2016,440246.74167494354,704,63258,329,375,39149186,NA,NA,NA
California,2017,476481.5914485232,645,62341,314,331,39337785,NA,NA,NA
California,2018,521936.34483768296,673,63439,347,326,39437463,NA,NA,NA
California,2019,536967.654065625,772,65962,388,384,39437610,NA,NA,NA
California,2020,563401.3407959783,6082,659226,1010,5072,39527808,103116,74350,-61011
California,2021,651426.1484425177,616,50226,263,353,39152927,412508,344771,-426637
California,2022,739682.4099192168,696,48454,268,428,39125347,424110,318097,-129980
California,2023,730116.4657003457,1701,98206,433,1268,39181667,410395,303116,-51778
California,2024,768022.4587325177,1573,86771,430,1143,39364774,400854,289060,71150
California,2025,766606.8716627036,1656,89371,609,1042,39355309,398632,288917,-119799
Colorado,2010,223303.80857955728,0,0,0,0,5047539,NA,NA,NA
Colorado,2011,214715.77340241193,0,0,0,0,5121900,NA,NA,NA
Colorado,2012,218104.1606283365,0,0,0,0,5193660,NA,NA,NA
Colorado,2013,236966.5278785514,0,0,0,0,5270774,NA,NA,NA
Colorado,2014,256192.14658116255,0,0,0,0,5352637,NA,NA,NA
Colorado,2015,286712.6023445692,64,6806,39,2,5454328,NA,NA,NA
Colorado,2016,319492.52933185553,66,6466,36,0,5543844,NA,NA,NA
Colorado,2017,348694.8657517813,32,2971,17,0,5617421,NA,NA,NA
Colorado,2018,374736.3907004168,37,4175,16,0,5697155,NA,NA,NA
Colorado,2019,392782.7727996092,51,6564,29,2,5758486,NA,NA,NA
Colorado,2020,414764.073157882,277,32032,96,32,5786873,15563,11888,7440
Colorado,2021,479160.04335079755,43,5847,12,2,5814368,62064,46505,10117
Colorado,2022,550687.6198894894,30,3393,14,0,5853355,62598,49604,26898
Colorado,2023,540325.2467402689,80,5412,16,9,5912240,62233,45204,41928
Colorado,2024,546781.405423722,71,5416,18,2,5988502,62517,44713,58308
Colorado,2025,540378.4508635472,66,5890,38,2,6012561,65380,44772,3256
Connecticut,2010,252207.4209288135,0,0,0,0,3579173,NA,NA,NA
Connecticut,2011,238424.5204051889,0,0,0,0,3588632,NA,NA,NA
Connecticut,2012,227164.08535996426,0,0,0,0,3595211,NA,NA,NA
Connecticut,2013,228767.3648591424,0,0,0,0,3595792,NA,NA,NA
Connecticut,2014,233102.38786750182,29,3093,19,9,3595697,NA,NA,NA
Connecticut,2015,234482.76806776415,39,3927,21,17,3588561,NA,NA,NA
Connecticut,2016,237320.9278773148,44,3231,30,13,3579830,NA,NA,NA
Connecticut,2017,242955.73391024195,46,3365,28,17,3575324,NA,NA,NA
Connecticut,2018,248581.82683739378,37,3035,24,8,3574561,NA,NA,NA
Connecticut,2019,251769.9779035584,29,2014,25,3,3566022,NA,NA,NA
Connecticut,2020,263071.5182976874,121,11646,56,61,3579643,8460,11936,-20799
Connecticut,2021,302356.90705576155,14,1915,9,2,3607765,33924,34598,26880
Connecticut,2022,336860.8798400018,9,1297,6,0,3618707,35611,34903,11754
Connecticut,2023,361769.69363858446,25,2271,13,0,3641369,35082,33014,21171
Connecticut,2024,395654.9110749848,28,1972,14,2,3674449,34584,32883,31629
Connecticut,2025,413058.70018196956,34,1994,16,18,3688496,34700,32417,11589
Delaware,2010,239100.73148681346,2,600,0,0,899647,NA,NA,NA
Delaware,2011,224257.96288548192,4,1483,0,0,907590,NA,NA,NA
Delaware,2012,212025.74418429701,1,426,0,0,915518,NA,NA,NA
Delaware,2013,214628.01761708618,3,1670,0,0,924062,NA,NA,NA
Delaware,2014,224103.39251811674,1,58,0,0,933131,NA,NA,NA
Delaware,2015,233950.4746452129,4,2156,0,0,942065,NA,NA,NA
Delaware,2016,244682.69892073885,4,434,0,0,949989,NA,NA,NA
Delaware,2017,254815.23127666226,7,884,0,0,957942,NA,NA,NA
Delaware,2018,261689.70449151724,3,251,0,0,966985,NA,NA,NA
Delaware,2019,269033.0319593866,2,605,0,0,976668,NA,NA,NA
Delaware,2020,278747.0321933977,16,3947,0,0,991890,2577,2966,2299
Delaware,2021,319880.4162959683,3,261,0,0,1005130,10162,11246,14619
Delaware,2022,356545.87958234973,1,91,0,0,1020279,10844,11508,15620
Delaware,2023,370633.4202082695,2,613,0,0,1035354,10721,10983,15194
Delaware,2024,383150.999799934,0,0,0,0,1050123,10422,10619,14839
Delaware,2025,391618.3305379249,2,153,0,0,1059952,10328,10882,10328
District of Columbia,2010,360050.02620574774,0,0,0,0,605282,NA,NA,NA
District of Columbia,2011,357732.0970150471,0,0,0,0,620290,NA,NA,NA
District of Columbia,2012,364098.45357101195,0,0,0,0,635737,NA,NA,NA
District of Columbia,2013,406779.7513699545,0,0,0,0,651559,NA,NA,NA
District of Columbia,2014,449497.26577031676,0,0,0,0,663603,NA,NA,NA
District of Columbia,2015,475926.947432889,0,0,0,0,677014,NA,NA,NA
District of Columbia,2016,501048.951219474,0,0,0,0,687576,NA,NA,NA
District of Columbia,2017,521905.9681965958,0,0,0,0,697079,NA,NA,NA
District of Columbia,2018,549530.3938147821,0,0,0,0,704147,NA,NA,NA
District of Columbia,2019,564977.7101239957,0,0,0,0,708253,NA,NA,NA
District of Columbia,2020,588939.2231254415,0,0,0,0,670958,2189,2002,-15344
District of Columbia,2021,623241.2542480947,0,0,0,0,669637,8504,5810,-4513
District of Columbia,2022,635134.1204458803,0,0,0,0,674501,8495,5567,2484
District of Columbia,2023,611692.0861937257,0,0,0,0,682559,8055,5050,5164
District of Columbia,2024,599667.5524514224,0,0,0,0,691310,7747,4920,5921
District of Columbia,2025,580335.7017664908,0,0,0,0,693645,7336,4820,-213
Florida,2010,146401.55249851814,105,13817,0,0,18846143,NA,NA,NA
Florida,2011,133014.3984703928,141,19702,0,0,19055607,NA,NA,NA
Florida,2012,132086.46377734074,165,16997,0,0,19302016,NA,NA,NA
Florida,2013,147776.485923983,127,14805,0,0,19551678,NA,NA,NA
Florida,2014,166204.796488145,105,13778,0,0,19853880,NA,NA,NA
Florida,2015,181100.03482374828,85,12639,0,0,20219111,NA,NA,NA
Florida,2016,198285.1881222081,101,12400,0,0,20627237,NA,NA,NA
Florida,2017,214322.94177095557,268,27277,0,0,20977089,NA,NA,NA
Florida,2018,230649.56212495928,123,16613,0,0,21254926,NA,NA,NA
Florida,2019,242676.62620598444,151,13060,0,0,21492056,NA,NA,NA
Florida,2020,257027.53982653155,1339,182615,0,0,21591325,50409,56364,64500
Florida,2021,299432.67135770473,104,12136,0,0,21836698,208256,250266,300077
Florida,2022,374163.7194970795,115,10007,0,0,22413989,222202,260264,598737
Florida,2023,390680.78105489817,210,10031,0,0,22929248,224378,231949,517095
Florida,2024,397116.9268908519,211,11800,1,11,23265838,221213,229252,342075
Florida,2025,381171.8656271364,211,19022,78,105,23462518,225971,227304,201191
Georgia,2010,138015.0938683066,0,0,0,0,9712209,NA,NA,NA
Georgia,2011,125067.26483499224,0,0,0,0,9803630,NA,NA,NA
Georgia,2012,121597.72468560541,0,0,0,0,9903580,NA,NA,NA
Georgia,2013,131704.12743797517,0,0,0,0,9975592,NA,NA,NA
Georgia,2014,145857.07431670898,0,0,0,0,10071204,NA,NA,NA
Georgia,2015,154987.4609604798,0,0,0,0,10183353,NA,NA,NA
Georgia,2016,165245.1809403727,0,0,0,0,10308442,NA,NA,NA
Georgia,2017,175871.17877307915,0,0,0,0,10417031,NA,NA,NA
Georgia,2018,191067.16845982638,0,0,0,0,10519389,NA,NA,NA
Georgia,2019,205147.03849621076,0,0,0,0,10628020,NA,NA,NA
Georgia,2020,220254.2662722945,0,0,0,0,10732595,29838,24705,12316
Georgia,2021,260237.74894080966,0,0,0,0,10793038,121375,109407,47242
Georgia,2022,313410.7985939771,0,0,0,0,10929992,125747,110519,121721
Georgia,2023,323227.8974555716,52,7351,27,25,11063669,126265,98375,105074
Georgia,2024,334420.7269693369,67,7984,35,32,11204208,125708,97476,111929
Georgia,2025,330568.43842773384,87,15275,51,36,11302748,126446,97815,69912
Hawaii,2010,414434.8055873455,0,0,0,0,1364004,NA,NA,NA
Hawaii,2011,414620.00706669124,0,0,0,0,1379562,NA,NA,NA
Hawaii,2012,410723.32028204703,0,0,0,0,1395199,NA,NA,NA
Hawaii,2013,437000.6393679533,0,0,0,0,1408822,NA,NA,NA
Hawaii,2014,475036.1590025434,0,0,0,0,1415335,NA,NA,NA
Hawaii,2015,506023.12038059573,0,0,0,0,1422999,NA,NA,NA
Hawaii,2016,535461.1225545413,0,0,0,0,1428885,NA,NA,NA
Hawaii,2017,566376.8102203669,0,0,0,0,1425763,NA,NA,NA
Hawaii,2018,594778.6484669403,0,0,0,0,1423102,NA,NA,NA
Hawaii,2019,605524.8663450545,25,2375,9,8,1415615,NA,NA,NA
Hawaii,2020,621825.5854880014,258,62801,20,228,1451130,3825,2858,-4742
Hawaii,2021,695969.2691394858,41,7271,8,24,1446909,15525,12239,-7797
Hawaii,2022,820544.0625441886,29,3118,6,12,1437812,15726,13490,-11401
Hawaii,2023,823653.5514550392,23,2779,3,10,1434950,15245,12979,-4977
Hawaii,2024,837723.6478937361,23,2173,7,8,1434952,14737,12704,-1898
Hawaii,2025,825831.6819791022,27,1914,7,14,1432820,14631,12607,-4108
Idaho,2010,161233.52037240003,3,322,0,0,1570819,NA,NA,NA
Idaho,2011,145230.04201441206,2,772,0,0,1584272,NA,NA,NA
Idaho,2012,148628.85778596613,24,987,0,0,1595910,NA,NA,NA
Idaho,2013,164828.09475665566,7,900,0,0,1612053,NA,NA,NA
Idaho,2014,176583.9143347846,14,4417,0,0,1632248,NA,NA,NA
Idaho,2015,186581.38212200842,9,1014,0,0,1652495,NA,NA,NA
Idaho,2016,202175.91331641848,20,1236,0,0,1684036,NA,NA,NA
Idaho,2017,220508.03401058592,7,458,0,0,1719745,NA,NA,NA
Idaho,2018,245968.291236721,8,1431,0,0,1752074,NA,NA,NA
Idaho,2019,275023.9891057252,4,449,0,0,1789060,NA,NA,NA
Idaho,2020,312581.42277975136,35,2156,0,0,1849328,5459,3630,8870
Idaho,2021,416629.59579567774,3,758,0,0,1904855,21845,17114,53049
Idaho,2022,476069.1434350176,3,352,0,0,1942951,22375,18939,33927
Idaho,2023,446735.7597802714,15,729,0,0,1970497,22357,16829,21892
Idaho,2024,454695.9149692891,7,1099,0,0,2000872,22868,16782,24129
Idaho,2025,460920.2477989498,14,1001,0,0,2029733,23695,16795,22063
Illinois,2010,162774.64021959892,0,0,0,0,12840545,NA,NA,NA
Illinois,2011,149040.50732597057,0,0,0,0,12867783,NA,NA,NA
Illinois,2012,140260.5630003803,0,0,0,0,12883029,NA,NA,NA
Illinois,2013,144656.1809667334,0,0,0,0,12895778,NA,NA,NA
Illinois,2014,156073.03143278186,0,0,0,0,12885092,NA,NA,NA
Illinois,2015,162198.7113698821,0,0,0,0,12859585,NA,NA,NA
Illinois,2016,170208.5450012079,0,0,0,0,12821709,NA,NA,NA
Illinois,2017,178078.76467041372,0,0,0,0,12779893,NA,NA,NA
Illinois,2018,185993.39609625208,0,0,0,0,12724685,NA,NA,NA
Illinois,2019,190973.69829386324,0,0,0,0,12667017,NA,NA,NA
Illinois,2020,197539.92996397812,518,76539,109,386,12795348,33452,35327,-24722
Illinois,2021,218185.11191757777,69,8751,34,29,12703354,131839,128445,-96932
Illinois,2022,238759.3188263706,54,5839,41,12,12609577,129746,127075,-98171
Illinois,2023,245951.3512669328,109,16598,75,33,12633389,127000,116926,14362
Illinois,2024,261148.61971116118,116,15232,74,42,12703033,125470,113529,58041
Illinois,2025,272336.4891755834,136,14708,73,62,12719141,125129,114226,4735
Indiana,2010,113275.56996158724,78,9256,48,30,6490555,NA,NA,NA
Indiana,2011,110182.19031188278,96,11052,60,36,6517250,NA,NA,NA
Indiana,2012,110564.41350663686,88,11316,58,30,6538989,NA,NA,NA
Indiana,2013,112970.73569809103,94,15132,58,36,6570575,NA,NA,NA
Indiana,2014,116899.61329736345,88,10248,66,22,6596019,NA,NA,NA
Indiana,2015,121279.76474279979,92,10732,52,40,6611442,NA,NA,NA
Indiana,2016,127087.48454921195,84,11806,50,34,6637898,NA,NA,NA
Indiana,2017,134304.06647682193,116,21594,64,52,6662068,NA,NA,NA
Indiana,2018,143924.14717982564,96,12346,70,26,6698481,NA,NA,NA
Indiana,2019,153847.59281184184,70,10460,52,18,6731010,NA,NA,NA
Indiana,2020,165629.76786835873,310,68630,88,216,6790290,19425,19147,1977
Indiana,2021,190539.2595834976,58,5622,46,12,6814223,77620,77873,21134
Indiana,2022,216156.3543665553,64,9796,36,28,6841491,80451,79703,29467
Indiana,2023,225213.5706585029,86,10320,48,38,6881373,79708,72091,32826
Indiana,2024,235998.9522612869,82,6752,58,22,6934754,79448,70277,44438
Indiana,2025,244616.9239836216,62,7886,46,14,6973333,79648,71087,30049
Iowa,2010,118303.57502908292,58,7660,22,10,3050819,NA,NA,NA
Iowa,2011,115644.29369712963,62,5726,10,24,3066772,NA,NA,NA
Iowa,2012,117464.76696832306,58,4976,22,20,3076844,NA,NA,NA
Iowa,2013,122601.4308206181,40,1250,8,2,3093935,NA,NA,NA
Iowa,2014,127095.9240209156,64,4082,18,22,3110643,NA,NA,NA
Iowa,2015,132160.39934028027,102,11954,14,60,3122541,NA,NA,NA
Iowa,2016,138513.7404182163,182,9280,36,60,3133210,NA,NA,NA
Iowa,2017,142949.9299212265,104,7642,30,44,3143734,NA,NA,NA
Iowa,2018,148871.57157655022,136,8090,74,44,3149900,NA,NA,NA
Iowa,2019,156302.86562600933,158,9802,62,54,3159596,NA,NA,NA
Iowa,2020,163809.38989043995,138,10804,34,98,3191081,9091,8032,-1043
Iowa,2021,179108.9095200134,72,7028,26,24,3199037,35845,35466,5995
Iowa,2022,198128.03394806857,178,8114,62,54,3201890,36774,35685,2934
